day,moviecode,moviename,starttime,finishtime,screen,seat,A,B,C,D,E,F,G,H,I,J
20191020,AA,movie1,0410,0550,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191020,AA,movie1,0620,0800,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191020,AA,movie1,0830,1010,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191020,AA,movie1,1040,1220,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191020,AA,movie1,1250,1430,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191020,AA,movie1,1500,1640,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191020,AA,movie1,1710,1850,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191020,AA,movie1,1920,2100,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191020,AA,movie1,2130,2310,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191020,AA,movie1,2340,0120,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191021,AA,movie1,0150,0330,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191021,AA,movie1,0400,0540,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191021,AA,movie1,0610,0750,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191021,AA,movie1,0820,1000,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191021,AA,movie1,1030,1210,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191021,AA,movie1,1240,1420,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191021,AA,movie1,1450,1630,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191021,AA,movie1,1700,1840,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191021,AA,movie1,1910,2050,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
20191021,AA,movie1,2120,2300,screen1,8x8,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000,000000000
